id;artist_name;track_name;release_date;genre;lyrics;len;dating;violence;world_life;night_time;shake_the_audience;family_gospel;romantic;communication;obscene;music;movement_places;light_visual_perceptions;family_spiritual;like_girls;sadness;feelings;danceability;loudness;acousticness;instrumentalness;valence;energy;topic;age
1;synthesizing navigate Poland;bypassing Towels empowering;48031;Refined;Pines;86174;66785;59955;9904;72066;43613;18307;51507;49006;21824;49554;74680;88069;16599;44010;25971;23707;89059;25937;9372;11265;99849;28659;Steel;46133
2;Metal;Concrete Re-contextualized;27606;Concrete;Direct Buckinghamshire National;35211;54720;49224;44640;56808;44498;83410;13885;59430;14039;646;26332;98899;86362;84577;87934;45202;89740;1400;32053;35477;1880;31029;bluetooth Mozambique;57952
3;Chips Central;Tools Dollar Sports;10108;Account proactive;Danish;11125;68782;61197;36695;21921;83452;33237;78996;55680;39942;94957;55718;29986;96518;13690;14009;71074;53577;63362;31611;89354;34172;36257;Wisconsin;42929
4;Berkshire;driver Moroccan;93102;Dynamic;application Somalia Mountain;5670;27154;20801;90006;89002;83870;18550;17636;28466;91603;2141;50119;35685;62183;30550;92616;77781;59516;83722;70737;56875;66537;29004;port Refined;24693
5;open-source Research;multimedia Gorgeous;66737;Glens Pizza;Buckinghamshire Guilder haptic;86980;36569;21604;8386;50377;37859;68062;39269;93787;66113;62641;43268;55752;78217;20983;42079;68218;49583;33387;54772;19176;51020;19205;Granite Pants;78776
6;monitor;Lesotho;46847;calculating Multi-tiered;Rue;829;5972;43187;66744;73136;65393;40315;16989;12647;88797;69474;60722;20421;50267;24964;37411;29475;29381;38903;46102;99614;89267;34464;logistical;16233
7;Direct;Granite;65229;gold task-force Fresh;Producer expedite white;34350;5951;51765;10191;82119;33772;62615;93868;71901;18766;53222;87672;28987;35262;51361;80430;45506;35028;64754;93597;53020;86764;97349;Sausages;95478
8;B2B;optical compelling payment;479;Borders Kids Cheese;Practical Berkshire;88797;32348;59954;79273;92617;38846;39426;35639;82527;15864;26067;57897;29738;39122;21189;23558;51527;60569;76452;50353;88210;16490;68217;invoice AI;70588
9;Configuration SDD;Tuna;33553;Towels digital;Berkshire;35357;63100;45668;80892;16422;22309;67638;11106;94156;64410;65759;93317;63947;29711;88599;25730;99239;8236;60884;41952;28269;1988;84294;Account Home Soap;35775
10;engineer Checking;Lead;56837;Koruna;utilize;91868;1001;27715;42779;83318;51762;62893;58652;61377;9251;26009;24107;45089;9854;42482;90901;19895;17396;42579;77724;92684;10252;96586;Extended;98716
